Brand,Benchmark Family,Name,Ticker,Base,Quote,Dissemination,Launch Date,Inception Date,Exchanges,Calculation Window,Factsheet
Kaiko,Blue-Chip,Kaiko Eagle Index,EGLX,N/A,N/A,NYC Fixing,"February 11, 2025","February 11, 2025",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko Eagle Index,EGLXRT,N/A,N/A,Real-time (5 sec),"February 11, 2025","February 11, 2025",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 5 Index,KT5,N/A,N/A,Real-time (5 sec),"October 17, 2023","March 19, 2018",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 5 Index NYC,KT5NYC,N/A,N/A,NYC Fixing,"October 17, 2023","March 19, 2018",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 5 Index LDN,KT5LDN,N/A,N/A,LDN Fixing,"October 17, 2023","March 19, 2018",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 5 Index SGP,KT5SGP,N/A,N/A,SGP Fixing,"October 17, 2023","March 19, 2018",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 10 Index,KT10,N/A,N/A,Real-time (5 sec),"October 17, 2023","March 18, 2019",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 10 Index NYC,KT10NYC,N/A,N/A,NYC Fixing,"October 17, 2023","March 18, 2019",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 10 Index LDN,KT10LDN,N/A,N/A,LDN Fixing,"October 17, 2023","March 18, 2019",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 10 Index SGP,KT10SGP,N/A,N/A,SGP Fixing,"October 17, 2023","March 18, 2019",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 15 Index,KT15,N/A,N/A,Real-time (5 sec),"October 17, 2023","December 23, 2019",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 15 Index NYC,KT15NYC,N/A,N/A,NYC Fixing,"October 17, 2023","December 23, 2019",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 15 Index LDN,KT15LDN,N/A,N/A,LDN Fixing,"October 17, 2023","December 23, 2019",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 15 Index SGP,KT15SGP,N/A,N/A,SGP Fixing,"October 17, 2023","December 23, 2019",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Vinter 21Shares Crypto Basket Equal Weight Index ,HODLV,N/A,N/A,LDN Fixing,"September 29, 2021","January 01, 2021",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/multi-asset_hodlv_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Vinter 21Shares Crypto Basket 10 Index,HODLX,N/A,N/A,LDN Fixing,"September 29, 2021","January 01, 2021",-,-,"<a href="""" target=""_blank"">Coming soon</a>"
Kaiko,Blue-Chip,Vinter Valour Digital Asset Basket 10 Index,VDAB10,N/A,N/A,LDN Fixing,"July 21, 2022","January 01, 2021",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/VDAB10%20-%20Fact%20Sheet%20-%20multi-asset_vdab10_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Vinter Pando Crypto Basket 6 Index ,PANDO6,N/A,N/A,17:00 CET Fixing,"July 21, 2022","January 01, 2021",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/PANDO6%20-%20Fact%20Sheet%20-%20multi-asset_pando6_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Virtune Vinter Crypto Top 10 Index,VVT10,N/A,N/A,17:00 CET Fixing,"March 31, 2023","January 01, 2021",-,-,"<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/VVT10%20-%20Fact%20Sheet%20-%20multi-asset_vvt10_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
